,Country,Happiness Rank,Happiness Score,Family,Freedom,Generosity,GDP,LE,Trust,Year
73,Croatia,74.0,5.488,0.60809,0.23907,0.18434,1.18649,0.70524,0.04002,2016
74,Hong Kong,75.0,5.458,0.87021,0.48079,0.40097,1.5107,0.95277,0.31647,2016
75,Somalia,76.0,5.44,0.33613,0.56778,0.27225,0.0,0.11466,0.3118,2016
76,Kosovo,77.0,5.401,0.66062,0.14396,0.27992,0.90145,0.54,0.06547,2016
77,Turkey,78.0,5.389,0.87717,0.23889,0.04707,1.16492,0.64718,0.12348,2016
78,Indonesia,79.0,5.314,0.87625,0.39237,0.56521,0.95104,0.49374,0.00322,2016
79,Jordan,80.0,5.303,0.86216,0.36023,0.14262,0.99673,0.60712,0.13297,2016
80,Azerbaijan,81.0,5.291,0.76042,0.35327,0.0564,1.12373,0.54504,0.17914,2016
81,Philippines,82.0,5.279,0.87877,0.54854,0.21674,0.81217,0.47036,0.11757,2016
82,China,83.0,5.245,0.79381,0.44012,0.04959,1.0278,0.73561,0.02745,2016
83,Bhutan,84.0,5.196,0.90836,0.46074,0.48546,0.8527,0.49759,0.1616,2016
84,Kyrgyzstan,85.0,5.185,0.95434,0.40212,0.38432,0.56044,0.55449,0.04762,2016
85,Serbia,86.0,5.177,0.81329,0.15718,0.20737,1.03437,0.6458,0.04339,2016
86,Bosnia and Herzegovina,87.0,5.163,0.64367,0.09511,0.29889,0.93383,0.70766,0.0,2016
87,Montenegro,88.0,5.161,0.74173,0.15111,0.17191,1.07838,0.63533,0.12721,2016
88,Dominican Republic,89.0,5.155,0.99496,0.52259,0.21286,1.02787,0.57669,0.12372,2016
89,Morocco,90.0,5.151,0.38595,0.25646,0.04053,0.84058,0.59471,0.08404,2016
90,Hungary,91.0,5.145,0.93164,0.1977,0.099,1.24142,0.67608,0.04472,2016
91,Pakistan,92.0,5.132,0.26135,0.14622,0.31185,0.68816,0.40306,0.1388,2016
92,Lebanon,93.0,5.129,0.64184,0.26228,0.23693,1.12268,0.76171,0.03061,2016
93,Portugal,94.0,5.123,0.94367,0.44727,0.11691,1.27607,0.79363,0.01521,2016
94,Macedonia,95.0,5.121,0.78236,0.27668,0.23507,1.0193,0.64738,0.07047,2016
95,Vietnam,96.0,5.061,0.79117,0.55954,0.25075,0.74037,0.66157,0.11556,2016
96,Somaliland Region,97.0,5.057,0.75862,0.3913,0.51479,0.25558,0.33108,0.36794,2016
97,Tunisia,98.0,5.045,0.43165,0.23553,0.03936,0.97724,0.59577,0.0817,2016
98,Greece,99.0,5.033,0.75473,0.05822,0.0,1.24886,0.80029,0.04127,2016
99,Tajikistan,100.0,4.996,0.75602,0.43408,0.25998,0.48835,0.53119,0.13509,2016
100,Mongolia,101.0,4.907,1.08983,0.35972,0.34539,0.98853,0.55469,0.03285,2016
101,Laos,102.0,4.876,0.5497,0.52168,0.43079,0.68042,0.38291,0.22423,2016
102,Nigeria,103.0,4.875,0.64498,0.27854,0.23219,0.75216,0.05108,0.0305,2016
103,Honduras,104.0,4.871,0.75596,0.26755,0.2044,0.69429,0.58383,0.06906,2016
104,Iran,105.0,4.813,0.38857,0.22544,0.38538,1.11758,0.64232,0.0557,2016
105,Zambia,106.0,4.795,0.6376,0.42662,0.17866,0.61202,0.23573,0.11479,2016
